# file...... output/LOAD52_data.csv
# date...... Mon May  2 08:46:21 2022
# user...... user
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,LOAD52:base_power_A, Bus898:measured_power.real, inv_52_sol:VA_Out.real, inv_52_batt:VA_Out.real, Bus898:measured_voltage_A.real, Bus898:measured_current_A.real
2019-09-30 00:00:00 GMT,+7439.65,+2999.97,+0.0847326,+2951.68,+205.018,+11.4933
2019-09-30 00:01:00 GMT,+7439.65,+3000,+0,+2951.72,+205.017,+11.4934
2019-09-30 00:02:00 GMT,+7439.65,+3000,+0,+2951.72,+205.017,+11.4934
2019-09-30 00:03:00 GMT,+7439.65,+3000,+0,+2951.72,+205.017,+11.4934
2019-09-30 00:04:00 GMT,+7439.65,+3000,+0,+2951.72,+205.017,+11.4934
2019-09-30 00:05:00 GMT,+7629.46,+3103.57,+0,+3000,+204.684,+11.8947
2019-09-30 00:06:00 GMT,+7629.46,+3103.57,+0,+3000,+204.684,+11.8947
2019-09-30 00:07:00 GMT,+7629.46,+3102.58,+1.1042,+3000,+204.689,+11.8932
2019-09-30 00:08:00 GMT,+7629.46,+3102.64,+1.04064,+3000,+204.689,+11.8933
2019-09-30 00:09:00 GMT,+7629.46,+3103.57,+0,+3000,+204.684,+11.8947
2019-09-30 00:10:00 GMT,+7771.76,+3217.4,+0,+3000,+204.233,+12.2504
2019-09-30 00:11:00 GMT,+7771.76,+3216.38,+1.15344,+3000,+204.239,+12.2488
2019-09-30 00:12:00 GMT,+7771.76,+3214.5,+3.25432,+3000,+204.248,+12.246
2019-09-30 00:13:00 GMT,+7771.76,+3213.33,+4.56403,+3000,+204.253,+12.2443
2019-09-30 00:14:00 GMT,+7771.76,+3212.98,+4.95983,+3000,+204.255,+12.2438
2019-09-30 00:15:00 GMT,+7866.55,+3288.95,+4.81973,+3000,+203.947,+12.4801
2019-09-30 00:16:00 GMT,+7866.55,+3290.94,+2.57742,+3000,+203.937,+12.4831
2019-09-30 00:17:00 GMT,+7866.55,+3293.24,+0,+3000,+203.925,+12.4866
2019-09-30 00:18:00 GMT,+7866.55,+3293.24,+0,+3000,+203.925,+12.4866
2019-09-30 00:19:00 GMT,+7866.55,+3293.24,+0,+3000,+203.925,+12.4866
2019-09-30 00:20:00 GMT,+7913.84,+3331.07,+0,+3000,+203.782,+12.6006
2019-09-30 00:21:00 GMT,+7913.84,+3331.07,+0,+3000,+203.782,+12.6006
2019-09-30 00:22:00 GMT,+7913.84,+3331.07,+0,+3000,+203.782,+12.6006
2019-09-30 00:23:00 GMT,+7913.84,+3331.07,+0,+3000,+203.782,+12.6006
2019-09-30 00:24:00 GMT,+7913.84,+3331.04,+0.0334765,+3000,+203.782,+12.6005
2019-09-30 00:25:00 GMT,+7913.63,+3329.84,+1.18646,+3000,+203.808,+12.5895
2019-09-30 00:26:00 GMT,+7913.63,+3329.98,+1.02751,+3000,+203.807,+12.5898
2019-09-30 00:27:00 GMT,+7913.63,+3330.61,+0.321153,+3000,+203.804,+12.5907
2019-09-30 00:28:00 GMT,+7913.63,+3330.9,+0,+3000,+203.803,+12.5912
2019-09-30 00:29:00 GMT,+7913.63,+3330.9,+0,+3000,+203.803,+12.5912
2019-09-30 00:30:00 GMT,+7716.36,+3172.64,+0.500425,+3000,+204.407,+12.0764
2019-09-30 00:31:00 GMT,+7716.36,+3171.44,+1.84981,+3000,+204.412,+12.0747
